,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
84,Andaman & Nicobar Islands,Sorghum,1999,12067,1996,10249.94,19.44
85,Andaman & Nicobar Islands,Soybeans,1999,30780,1996,10249.94,19.44
86,Andaman & Nicobar Islands,Sweet potatoes,1999,66667,1996,10249.94,19.44
87,Andaman & Nicobar Islands,Wheat,1999,19633,1996,10249.94,19.44
88,Andaman & Nicobar Islands,Cassava,2000,22705,1996,9665.14,19.47
89,Andaman & Nicobar Islands,Maize,2000,17811,1996,9665.14,19.47
90,Andaman & Nicobar Islands,Plantains and others,2000,389764,1996,9665.14,19.47
91,Andaman & Nicobar Islands,Potatoes,2000,224631,1996,9665.14,19.47
92,Andaman & Nicobar Islands,"Rice, paddy",2000,30764,1996,9665.14,19.47
93,Andaman & Nicobar Islands,Sorghum,2000,12057,1996,9665.14,19.47
94,Andaman & Nicobar Islands,Soybeans,2000,30548,1996,9665.14,19.47
95,Andaman & Nicobar Islands,Sweet potatoes,2000,62500,1996,9665.14,19.47
96,Andaman & Nicobar Islands,Wheat,2000,20934,1996,9665.14,19.47
97,Andaman & Nicobar Islands,Cassava,2001,14288,1996,10023.42,19.62
98,Andaman & Nicobar Islands,Maize,2001,20681,1996,10023.42,19.62
99,Andaman & Nicobar Islands,Plantains and others,2001,223715,1996,10023.42,19.62
100,Andaman & Nicobar Islands,Potatoes,2001,367969,1996,10023.42,19.62
101,Andaman & Nicobar Islands,"Rice, paddy",2001,19229,1996,10023.42,19.62
102,Andaman & Nicobar Islands,Sorghum,2001,13629,1996,10023.42,19.62
103,Andaman & Nicobar Islands,Soybeans,2001,29091,1996,10023.42,19.62
104,Andaman & Nicobar Islands,Sweet potatoes,2001,60000,1996,10023.42,19.62
105,Andaman & Nicobar Islands,Wheat,2001,29638,1996,10023.42,19.62
106,Andaman & Nicobar Islands,Cassava,2002,13713,1996,10381.71,19.93
107,Andaman & Nicobar Islands,Maize,2002,20659,1996,10381.71,19.93
108,Andaman & Nicobar Islands,Plantains and others,2002,230957,1996,10381.71,19.93
109,Andaman & Nicobar Islands,Potatoes,2002,335861,1996,10381.71,19.93
110,Andaman & Nicobar Islands,"Rice, paddy",2002,11989,1996,10381.71,19.93
111,Andaman & Nicobar Islands,Sorghum,2002,14004,1996,10381.71,19.93
112,Andaman & Nicobar Islands,Soybeans,2002,26923,1996,10381.71,19.93
113,Andaman & Nicobar Islands,Sweet potatoes,2002,60000,1996,10381.71,19.93
114,Andaman & Nicobar Islands,Wheat,2002,19146,1996,10381.71,19.93
115,Andaman & Nicobar Islands,Cassava,2004,14833,1996,11959.92,19.85
116,Andaman & Nicobar Islands,Maize,2004,21307,1996,11959.92,19.85
117,Andaman & Nicobar Islands,Plantains and others,2004,259605,1996,11959.92,19.85
118,Andaman & Nicobar Islands,Potatoes,2004,255804,1996,11959.92,19.85
119,Andaman & Nicobar Islands,"Rice, paddy",2004,26236,1996,11959.92,19.85
120,Andaman & Nicobar Islands,Sorghum,2004,16502,1996,11959.92,19.85
121,Andaman & Nicobar Islands,Soybeans,2004,26923,1996,11959.92,19.85
122,Andaman & Nicobar Islands,Sweet potatoes,2004,66667,1996,11959.92,19.85
123,Andaman & Nicobar Islands,Wheat,2004,20184,1996,11959.92,19.85
124,Andaman & Nicobar Islands,Cassava,2005,14333,1996,13506.02,19.99
125,Andaman & Nicobar Islands,Maize,2005,23360,1996,13506.02,19.99
126,Andaman & Nicobar Islands,Plantains and others,2005,194704,1996,13506.02,19.99
127,Andaman & Nicobar Islands,Potatoes,2005,268403,1996,13506.02,19.99
128,Andaman & Nicobar Islands,"Rice, paddy",2005,27463,1996,13506.02,19.99
129,Andaman & Nicobar Islands,Sorghum,2005,16225,1996,13506.02,19.99
130,Andaman & Nicobar Islands,Soybeans,2005,26923,1996,13506.02,19.99
131,Andaman & Nicobar Islands,Sweet potatoes,2005,64706,1996,13506.02,19.99
132,Andaman & Nicobar Islands,Wheat,2005,21288,1996,13506.02,19.99
133,Andaman & Nicobar Islands,Cassava,2006,13834,1996,15951.27,19.88
134,Andaman & Nicobar Islands,Maize,2006,25807,1996,15951.27,19.88
135,Andaman & Nicobar Islands,Plantains and others,2006,163086,1996,15951.27,19.88
136,Andaman & Nicobar Islands,Potatoes,2006,248346,1996,15951.27,19.88
137,Andaman & Nicobar Islands,"Rice, paddy",2006,24662,1996,15951.27,19.88
138,Andaman & Nicobar Islands,Sorghum,2006,13536,1996,15951.27,19.88
139,Andaman & Nicobar Islands,Soybeans,2006,26923,1996,15951.27,19.88
140,Andaman & Nicobar Islands,Sweet potatoes,2006,62500,1996,15951.27,19.88
141,Andaman & Nicobar Islands,Wheat,2006,22712,1996,15951.27,19.88
142,Andaman & Nicobar Islands,Cassava,2007,13334,1996,22883.17,19.9
143,Andaman & Nicobar Islands,Maize,2007,23219,1996,22883.17,19.9
144,Andaman & Nicobar Islands,Plantains and others,2007,167445,1996,22883.17,19.9
145,Andaman & Nicobar Islands,Potatoes,2007,250489,1996,22883.17,19.9
146,Andaman & Nicobar Islands,"Rice, paddy",2007,28203,1996,22883.17,19.9
147,Andaman & Nicobar Islands,Sorghum,2007,17498,1996,22883.17,19.9
148,Andaman & Nicobar Islands,Soybeans,2007,26923,1996,22883.17,19.9
149,Andaman & Nicobar Islands,Sweet potatoes,2007,60000,1996,22883.17,19.9
150,Andaman & Nicobar Islands,Wheat,2007,22229,1996,22883.17,19.9
151,Andaman & Nicobar Islands,Cassava,2008,12834,1996,18091.67,19.51
152,Andaman & Nicobar Islands,Maize,2008,20115,1996,18091.67,19.51
153,Andaman & Nicobar Islands,Plantains and others,2008,175233,1996,18091.67,19.51
154,Andaman & Nicobar Islands,Potatoes,2008,242863,1996,18091.67,19.51
155,Andaman & Nicobar Islands,"Rice, paddy",2008,30625,1996,18091.67,19.51
156,Andaman & Nicobar Islands,Sorghum,2008,16657,1996,18091.67,19.51
157,Andaman & Nicobar Islands,Soybeans,2008,26923,1996,18091.67,19.51
158,Andaman & Nicobar Islands,Sweet potatoes,2008,66667,1996,18091.67,19.51
159,Andaman & Nicobar Islands,Wheat,2008,24013,1996,18091.67,19.51
160,Andaman & Nicobar Islands,Cassava,2009,12531,1996,13276.7,19.99
161,Andaman & Nicobar Islands,Maize,2009,19798,1996,13276.7,19.99
162,Andaman & Nicobar Islands,Plantains and others,2009,194704,1996,13276.7,19.99
163,Andaman & Nicobar Islands,Potatoes,2009,252535,1996,13276.7,19.99
164,Andaman & Nicobar Islands,"Rice, paddy",2009,28922,1996,13276.7,19.99
165,Andaman & Nicobar Islands,Sorghum,2009,17523,1996,13276.7,19.99
166,Andaman & Nicobar Islands,Soybeans,2009,25714,1996,13276.7,19.99
167,Andaman & Nicobar Islands,Sweet potatoes,2009,65000,1996,13276.7,19.99
168,Andaman & Nicobar Islands,Wheat,2009,22131,1996,13276.7,19.99
169,Andaman & Nicobar Islands,Cassava,2010,12511,1996,14898.25,19.85
170,Andaman & Nicobar Islands,Maize,2010,19944,1996,14898.25,19.85
171,Andaman & Nicobar Islands,Plantains and others,2010,162205,1996,14898.25,19.85
172,Andaman & Nicobar Islands,Potatoes,2010,252547,1996,14898.25,19.85
173,Andaman & Nicobar Islands,"Rice, paddy",2010,28258,1996,14898.25,19.85
174,Andaman & Nicobar Islands,Sorghum,2010,17398,1996,14898.25,19.85
175,Andaman & Nicobar Islands,Soybeans,2010,31313,1996,14898.25,19.85
176,Andaman & Nicobar Islands,Sweet potatoes,2010,58333,1996,14898.25,19.85
177,Andaman & Nicobar Islands,Wheat,2010,20574,1996,14898.25,19.85
178,Andaman & Nicobar Islands,Cassava,2011,12491,1996,16540.71,19.85
179,Andaman & Nicobar Islands,Maize,2011,19976,1996,16540.71,19.85
180,Andaman & Nicobar Islands,Plantains and others,2011,164167,1996,16540.71,19.85
181,Andaman & Nicobar Islands,Potatoes,2011,255064,1996,16540.71,19.85
182,Andaman & Nicobar Islands,"Rice, paddy",2011,28621,1996,16540.71,19.85
183,Andaman & Nicobar Islands,Sorghum,2011,17482,1996,16540.71,19.85
184,Andaman & Nicobar Islands,Soybeans,2011,26429,1996,16540.71,19.85
185,Andaman & Nicobar Islands,Sweet potatoes,2011,64286,1996,16540.71,19.85
186,Andaman & Nicobar Islands,Wheat,2011,20509,1996,16540.71,19.85
187,Andaman & Nicobar Islands,Cassava,2012,12470,1996,19726.3,19.88
188,Andaman & Nicobar Islands,Maize,2012,20348,1996,19726.3,19.88
189,Andaman & Nicobar Islands,Plantains and others,2012,171753,1996,19726.3,19.88
190,Andaman & Nicobar Islands,Potatoes,2012,249536,1996,19726.3,19.88
191,Andaman & Nicobar Islands,"Rice, paddy",2012,28928,1996,19726.3,19.88
192,Andaman & Nicobar Islands,Sorghum,2012,17558,1996,19726.3,19.88
193,Andaman & Nicobar Islands,Soybeans,2012,26429,1996,19726.3,19.88
194,Andaman & Nicobar Islands,Sweet potatoes,2012,65000,1996,19726.3,19.88
195,Andaman & Nicobar Islands,Wheat,2012,21677,1996,19726.3,19.88
196,Andaman & Nicobar Islands,Cassava,2013,12450,1996,20489.4,20.37
197,Andaman & Nicobar Islands,Maize,2013,20827,1996,20489.4,20.37
198,Andaman & Nicobar Islands,Plantains and others,2013,179551,1996,20489.4,20.37
199,Andaman & Nicobar Islands,Potatoes,2013,247554,1996,20489.4,20.37
200,Andaman & Nicobar Islands,"Rice, paddy",2013,29387,1996,20489.4,20.37
201,Andaman & Nicobar Islands,Sorghum,2013,17290,1996,20489.4,20.37
202,Andaman & Nicobar Islands,Soybeans,2013,25333,1996,20489.4,20.37
203,Andaman & Nicobar Islands,Sweet potatoes,2013,63636,1996,20489.4,20.37
204,Andaman & Nicobar Islands,Wheat,2013,20240,1996,20489.4,20.37
205,Andhra Pradesh,Cassava,1990,75504,758,34468.93,16
206,Andhra Pradesh,Cassava,1990,75504,758,34468.93,21.46
207,Andhra Pradesh,Cassava,1990,75504,758,34468.93,24.79
208,Andhra Pradesh,Cassava,1990,75504,758,34468.93,19.63
209,Andhra Pradesh,Cassava,1990,75504,758,34468.93,22.63
210,Andhra Pradesh,Cassava,1990,75504,758,34468.93,19.27
211,Andhra Pradesh,Cassava,1990,75504,758,34468.93,16.69
212,Andhra Pradesh,Cassava,1990,75504,758,34468.93,21.46
213,Andhra Pradesh,Maize,1990,19942,758,34468.93,16
214,Andhra Pradesh,Maize,1990,19942,758,34468.93,21.46
215,Andhra Pradesh,Maize,1990,19942,758,34468.93,24.79
216,Andhra Pradesh,Maize,1990,19942,758,34468.93,19.63
217,Andhra Pradesh,Maize,1990,19942,758,34468.93,22.63
218,Andhra Pradesh,Maize,1990,19942,758,34468.93,19.27
219,Andhra Pradesh,Maize,1990,19942,758,34468.93,16.69
220,Andhra Pradesh,Maize,1990,19942,758,34468.93,21.46
221,Andhra Pradesh,Potatoes,1990,158256,758,34468.93,16
222,Andhra Pradesh,Potatoes,1990,158256,758,34468.93,21.46
223,Andhra Pradesh,Potatoes,1990,158256,758,34468.93,24.79
224,Andhra Pradesh,Potatoes,1990,158256,758,34468.93,19.63
225,Andhra Pradesh,Potatoes,1990,158256,758,34468.93,22.63
226,Andhra Pradesh,Potatoes,1990,158256,758,34468.93,19.27
227,Andhra Pradesh,Potatoes,1990,158256,758,34468.93,16.69
228,Andhra Pradesh,Potatoes,1990,158256,758,34468.93,21.46
229,Andhra Pradesh,"Rice, paddy",1990,37418,758,34468.93,16
230,Andhra Pradesh,"Rice, paddy",1990,37418,758,34468.93,21.46
231,Andhra Pradesh,"Rice, paddy",1990,37418,758,34468.93,24.79
232,Andhra Pradesh,"Rice, paddy",1990,37418,758,34468.93,19.63
233,Andhra Pradesh,"Rice, paddy",1990,37418,758,34468.93,22.63
234,Andhra Pradesh,"Rice, paddy",1990,37418,758,34468.93,19.27
235,Andhra Pradesh,"Rice, paddy",1990,37418,758,34468.93,16.69
236,Andhra Pradesh,"Rice, paddy",1990,37418,758,34468.93,21.46
237,Andhra Pradesh,Sorghum,1990,32888,758,34468.93,16
238,Andhra Pradesh,Sorghum,1990,32888,758,34468.93,21.46
239,Andhra Pradesh,Sorghum,1990,32888,758,34468.93,24.79
240,Andhra Pradesh,Sorghum,1990,32888,758,34468.93,19.63
241,Andhra Pradesh,Sorghum,1990,32888,758,34468.93,22.63
242,Andhra Pradesh,Sorghum,1990,32888,758,34468.93,19.27
243,Andhra Pradesh,Sorghum,1990,32888,758,34468.93,16.69
244,Andhra Pradesh,Sorghum,1990,32888,758,34468.93,21.46
245,Andhra Pradesh,Soybeans,1990,20145,758,34468.93,16
246,Andhra Pradesh,Soybeans,1990,20145,758,34468.93,21.46
247,Andhra Pradesh,Soybeans,1990,20145,758,34468.93,24.79
248,Andhra Pradesh,Soybeans,1990,20145,758,34468.93,19.63
249,Andhra Pradesh,Soybeans,1990,20145,758,34468.93,22.63
250,Andhra Pradesh,Soybeans,1990,20145,758,34468.93,19.27
251,Andhra Pradesh,Soybeans,1990,20145,758,34468.93,16.69
252,Andhra Pradesh,Soybeans,1990,20145,758,34468.93,21.46
253,Andhra Pradesh,Sweet potatoes,1990,167541,758,34468.93,16
254,Andhra Pradesh,Sweet potatoes,1990,167541,758,34468.93,21.46
255,Andhra Pradesh,Sweet potatoes,1990,167541,758,34468.93,24.79
256,Andhra Pradesh,Sweet potatoes,1990,167541,758,34468.93,19.63
257,Andhra Pradesh,Sweet potatoes,1990,167541,758,34468.93,22.63
258,Andhra Pradesh,Sweet potatoes,1990,167541,758,34468.93,19.27
259,Andhra Pradesh,Sweet potatoes,1990,167541,758,34468.93,16.69
260,Andhra Pradesh,Sweet potatoes,1990,167541,758,34468.93,21.46
261,Andhra Pradesh,Wheat,1990,42143,758,34468.93,16
262,Andhra Pradesh,Wheat,1990,42143,758,34468.93,21.46
263,Andhra Pradesh,Wheat,1990,42143,758,34468.93,24.79
264,Andhra Pradesh,Wheat,1990,42143,758,34468.93,19.63
265,Andhra Pradesh,Wheat,1990,42143,758,34468.93,22.63
266,Andhra Pradesh,Wheat,1990,42143,758,34468.93,19.27
267,Andhra Pradesh,Wheat,1990,42143,758,34468.93,16.69
268,Andhra Pradesh,Wheat,1990,42143,758,34468.93,21.46
269,Andhra Pradesh,Cassava,1991,78776,758,34468.93,16.42
270,Andhra Pradesh,Cassava,1991,78776,758,34468.93,21.2
271,Andhra Pradesh,Cassava,1991,78776,758,34468.93,24.46
272,Andhra Pradesh,Cassava,1991,78776,758,34468.93,19.36
273,Andhra Pradesh,Cassava,1991,78776,758,34468.93,22.5
274,Andhra Pradesh,Cassava,1991,78776,758,34468.93,19.69
275,Andhra Pradesh,Cassava,1991,78776,758,34468.93,16.13
276,Andhra Pradesh,Cassava,1991,78776,758,34468.93,21.2
277,Andhra Pradesh,Maize,1991,20515,758,34468.93,16.42
278,Andhra Pradesh,Maize,1991,20515,758,34468.93,21.2
279,Andhra Pradesh,Maize,1991,20515,758,34468.93,24.46
280,Andhra Pradesh,Maize,1991,20515,758,34468.93,19.36
281,Andhra Pradesh,Maize,1991,20515,758,34468.93,22.5
282,Andhra Pradesh,Maize,1991,20515,758,34468.93,19.69
283,Andhra Pradesh,Maize,1991,20515,758,34468.93,16.13
284,Andhra Pradesh,Maize,1991,20515,758,34468.93,21.2
285,Andhra Pradesh,Potatoes,1991,162351,758,34468.93,16.42
286,Andhra Pradesh,Potatoes,1991,162351,758,34468.93,21.2
287,Andhra Pradesh,Potatoes,1991,162351,758,34468.93,24.46
288,Andhra Pradesh,Potatoes,1991,162351,758,34468.93,19.36
289,Andhra Pradesh,Potatoes,1991,162351,758,34468.93,22.5
290,Andhra Pradesh,Potatoes,1991,162351,758,34468.93,19.69
291,Andhra Pradesh,Potatoes,1991,162351,758,34468.93,16.13
292,Andhra Pradesh,Potatoes,1991,162351,758,34468.93,21.2
293,Andhra Pradesh,"Rice, paddy",1991,40954,758,34468.93,16.42
294,Andhra Pradesh,"Rice, paddy",1991,40954,758,34468.93,21.2
295,Andhra Pradesh,"Rice, paddy",1991,40954,758,34468.93,24.46
296,Andhra Pradesh,"Rice, paddy",1991,40954,758,34468.93,19.36
297,Andhra Pradesh,"Rice, paddy",1991,40954,758,34468.93,22.5
298,Andhra Pradesh,"Rice, paddy",1991,40954,758,34468.93,19.69
299,Andhra Pradesh,"Rice, paddy",1991,40954,758,34468.93,16.13
300,Andhra Pradesh,"Rice, paddy",1991,40954,758,34468.93,21.2
301,Andhra Pradesh,Sorghum,1991,31195,758,34468.93,16.42
302,Andhra Pradesh,Sorghum,1991,31195,758,34468.93,21.2
303,Andhra Pradesh,Sorghum,1991,31195,758,34468.93,24.46
304,Andhra Pradesh,Sorghum,1991,31195,758,34468.93,19.36
305,Andhra Pradesh,Sorghum,1991,31195,758,34468.93,22.5
306,Andhra Pradesh,Sorghum,1991,31195,758,34468.93,19.69
307,Andhra Pradesh,Sorghum,1991,31195,758,34468.93,16.13
308,Andhra Pradesh,Sorghum,1991,31195,758,34468.93,21.2
309,Andhra Pradesh,Soybeans,1991,21218,758,34468.93,16.42
310,Andhra Pradesh,Soybeans,1991,21218,758,34468.93,21.2
311,Andhra Pradesh,Soybeans,1991,21218,758,34468.93,24.46
312,Andhra Pradesh,Soybeans,1991,21218,758,34468.93,19.36
313,Andhra Pradesh,Soybeans,1991,21218,758,34468.93,22.5
314,Andhra Pradesh,Soybeans,1991,21218,758,34468.93,19.69
315,Andhra Pradesh,Soybeans,1991,21218,758,34468.93,16.13
316,Andhra Pradesh,Soybeans,1991,21218,758,34468.93,21.2
317,Andhra Pradesh,Sweet potatoes,1991,174848,758,34468.93,16.42
318,Andhra Pradesh,Sweet potatoes,1991,174848,758,34468.93,21.2
319,Andhra Pradesh,Sweet potatoes,1991,174848,758,34468.93,24.46
320,Andhra Pradesh,Sweet potatoes,1991,174848,758,34468.93,19.36
321,Andhra Pradesh,Sweet potatoes,1991,174848,758,34468.93,22.5
322,Andhra Pradesh,Sweet potatoes,1991,174848,758,34468.93,19.69
323,Andhra Pradesh,Sweet potatoes,1991,174848,758,34468.93,16.13
324,Andhra Pradesh,Sweet potatoes,1991,174848,758,34468.93,21.2
325,Andhra Pradesh,Wheat,1991,41272,758,34468.93,16.42
326,Andhra Pradesh,Wheat,1991,41272,758,34468.93,21.2
327,Andhra Pradesh,Wheat,1991,41272,758,34468.93,24.46
328,Andhra Pradesh,Wheat,1991,41272,758,34468.93,19.36
329,Andhra Pradesh,Wheat,1991,41272,758,34468.93,22.5
330,Andhra Pradesh,Wheat,1991,41272,758,34468.93,19.69
331,Andhra Pradesh,Wheat,1991,41272,758,34468.93,16.13
332,Andhra Pradesh,Wheat,1991,41272,758,34468.93,21.2
333,Andhra Pradesh,Cassava,1992,93194,758,34468.93,15.71
334,Andhra Pradesh,Cassava,1992,93194,758,34468.93,21
335,Andhra Pradesh,Cassava,1992,93194,758,34468.93,24.87
336,Andhra Pradesh,Cassava,1992,93194,758,34468.93,19.97
337,Andhra Pradesh,Cassava,1992,93194,758,34468.93,21.92
338,Andhra Pradesh,Cassava,1992,93194,758,34468.93,19.14
339,Andhra Pradesh,Cassava,1992,93194,758,34468.93,17.33
340,Andhra Pradesh,Cassava,1992,93194,758,34468.93,21
341,Andhra Pradesh,Maize,1992,23450,758,34468.93,15.71
342,Andhra Pradesh,Maize,1992,23450,758,34468.93,21
343,Andhra Pradesh,Maize,1992,23450,758,34468.93,24.87
344,Andhra Pradesh,Maize,1992,23450,758,34468.93,19.97
345,Andhra Pradesh,Maize,1992,23450,758,34468.93,21.92
346,Andhra Pradesh,Maize,1992,23450,758,34468.93,19.14
347,Andhra Pradesh,Maize,1992,23450,758,34468.93,17.33
348,Andhra Pradesh,Maize,1992,23450,758,34468.93,21
349,Andhra Pradesh,Potatoes,1992,168178,758,34468.93,15.71
350,Andhra Pradesh,Potatoes,1992,168178,758,34468.93,21
351,Andhra Pradesh,Potatoes,1992,168178,758,34468.93,24.87
352,Andhra Pradesh,Potatoes,1992,168178,758,34468.93,19.97
353,Andhra Pradesh,Potatoes,1992,168178,758,34468.93,21.92
354,Andhra Pradesh,Potatoes,1992,168178,758,34468.93,19.14
355,Andhra Pradesh,Potatoes,1992,168178,758,34468.93,17.33
356,Andhra Pradesh,Potatoes,1992,168178,758,34468.93,21
357,Andhra Pradesh,"Rice, paddy",1992,43577,758,34468.93,15.71
358,Andhra Pradesh,"Rice, paddy",1992,43577,758,34468.93,21
359,Andhra Pradesh,"Rice, paddy",1992,43577,758,34468.93,24.87
360,Andhra Pradesh,"Rice, paddy",1992,43577,758,34468.93,19.97
361,Andhra Pradesh,"Rice, paddy",1992,43577,758,34468.93,21.92
362,Andhra Pradesh,"Rice, paddy",1992,43577,758,34468.93,19.14
363,Andhra Pradesh,"Rice, paddy",1992,43577,758,34468.93,17.33
364,Andhra Pradesh,"Rice, paddy",1992,43577,758,34468.93,21
365,Andhra Pradesh,Sorghum,1992,38910,758,34468.93,15.71
366,Andhra Pradesh,Sorghum,1992,38910,758,34468.93,21
